pg_name,location,room_amenities,common_amenities,food_facility,available_from,posted_on,parking,occupancy,rent,deposit
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['air conditioner (common area if not room)', 'cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,four,6500,2000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,single,25000,12500
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light']","['cctv', 'fridge', 'housekeeping', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,13000,7000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light']","['cctv', 'fridge', 'housekeeping', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,three,13000,7000
PG for Boys in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light']","['cctv', 'fridge', 'housekeeping', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,four,8000,8000
PG for Anyone in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['ac (common area)', 'cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,three,10000,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'drinking water', 'fridge', 'housekeeping', 'independent locker', 'lift', 'power backup', 'self?cooking facility', 'television', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,double,14000,5000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'power backup', 'tv', 'warden/room cleaning', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,three,8000,2000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['air conditioner (common lounge)', 'cctv', 'fridge', 'housekeeping', 'power backup', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-08-05,2025-07-01,Bike,double,9500,3000
PG for Anyone in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,three,9000,4500
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'safety lockers', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,three,8000,1000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'independent lockers', 'lift', 'power backup', 'self?cooking facility', 'television', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,16500,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'lift', 'power backup', 'television', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,12000,2000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'safety lockers', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,15000,7500
PG for Girls in Madhapur,Madhapur,"['ac', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'drinking water/ro', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift access', 'power backup', 'safety lockers', 'self-cooking facility', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,10000,3000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'safety lockers', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-09-01,2025-07-03,Bike,three,8000,2000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'safety lockers', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-09-01,2025-07-03,Bike,four,7000,2000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'drinking water/ro', 'fridge', 'housekeeping', 'lift access', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-01,Bike,double,12000,6000
PG for Girls in Madhapur,Madhapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,three,8000,2000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'gas/self-cooking', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,double,12000,6000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'safety lockers', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,three,9000,4500
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'safety lockers', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike,double,9500,3000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike and Car,three,10000,5000
PG for Boys in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-03,Bike and Car,four,9000,5000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike,three,8000,2000
PG for Girls in Madhapur,Madhapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike,four,7000,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'fridge', 'hot water facility', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike,four,7500,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'cctv security', 'fridge', 'guardian', 'housekeeping', 'laundry service', 'lift', 'non?veg kitchen', 'power backup', 'room cleaning', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-07-05,Car,single,23000,50000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,single,20000,5000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,12000,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike and Car,four,10000,10000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-08-01,2025-07-02,Bike,four,7000,3000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,single,22000,5000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['cctv', 'cctv security', 'common kitchen', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'tv (in all rooms)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,three,7500,3000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,9500,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'cooking area', 'fridge', 'housekeeping', 'mess', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike and Car,double,11000,3000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,double,12000,4000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,three,8500,4000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'laundry service', 'power backup', 'shared mess / cooking area', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike and Car,three,8000,4000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'common tv', 'fridge', 'housekeeping', 'lift', 'mess', 'power backup', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike and Car,four,7000,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-29,Bike,double,12000,4000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-29,Bike,three,8500,4000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,four,7500,3000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike and Car,three,7000,2000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike and Car,four,6000,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,four,7000,2000
